employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches,Attrition
1,Finance,Associate,Full-time,Remote,52,107,10,40472,9.5,10,1,70.9,1,47,0,0,0
2,Operations,Associate,Full-time,Onsite,35,117,23,110800,23.3,18,0,71.2,0,2,1,0,0
3,HR,Senior Associate,Contract,Hybrid,51,6,34,113227,17.9,15,0,97.0,0,59,0,0,0
4,Operations,Manager,Full-time,Hybrid,48,73,22,139023,23.2,7,1,79.0,1,1,1,0,0
5,Operations,Associate,Full-time,Hybrid,37,65,31,62632,19.9,28,1,56.6,1,37,0,0,1
6,Sales,Manager,Full-time,Remote,27,76,22,63743,15.2,0,0,71.9,0,39,0,1,0
7,HR,Senior Associate,Full-time,Remote,54,58,33,138552,2.9,9,1,77.6,1,55,0,1,1
8,HR,Senior Associate,Full-time,Hybrid,39,78,18,108538,7.3,1,1,78.4,0,38,0,0,0
9,HR,Manager,Full-time,Hybrid,37,6,1,142517,24.2,18,0,75.1,0,38,0,0,0
10,Operations,Senior Associate,Full-time,Onsite,33,65,1,73386,8.0,13,0,50.7,0,23,0,0,0
11,Finance,Team Lead,Full-time,Onsite,41,86,14,123786,2.3,2,0,42.0,0,20,1,1,1
12,HR,Team Lead,Contract,Onsite,50,34,20,73388,17.7,22,0,60.3,0,50,0,0,0
13,Marketing,Senior Associate,Contract,Remote,51,56,34,51323,18.4,28,0,65.7,0,17,0,0,0
14,Operations,Team Lead,Full-time,Hybrid,47,75,4,99269,7.1,23,0,43.7,1,34,1,0,0
15,Sales,Associate,Full-time,Remote,43,3,26,71319,7.4,8,0,88.9,0,10,0,0,0
16,Finance,Manager,Contract,Hybrid,54,42,23,97759,11.7,22,1,60.6,0,10,0,1,0
17,Marketing,Associate,Contract,Onsite,50,62,6,46868,0.5,7,0,94.8,0,2,0,0,0
18,Marketing,Manager,Full-time,Onsite,43,6,5,129732,19.7,10,0,49.3,0,59,0,2,1
19,Sales,Senior Associate,Full-time,Onsite,34,6,32,32080,7.9,14,0,43.4,0,22,0,0,0
20,Finance,Associate,Full-time,Onsite,30,63,16,43776,21.3,5,1,68.9,0,0,1,0,0
21,Operations,Senior Associate,Full-time,Hybrid,45,20,29,96231,20.1,1,1,51.3,1,22,0,0,0
22,Engineering,Senior Associate,Contract,Onsite,36,21,7,85452,16.5,0,0,96.2,0,21,0,0,0
23,Finance,Manager,Full-time,Hybrid,57,2,6,83812,8.1,2,1,40.6,0,58,1,0,0
24,Sales,Manager,Contract,Hybrid,34,90,5,93271,12.9,24,1,64.8,0,41,0,0,0
25,Marketing,Manager,Full-time,Remote,48,95,3,128505,11.1,28,1,95.6,0,29,1,1,0
26,Operations,Associate,Contract,Onsite,28,90,0,107585,8.5,22,1,63.1,1,1,0,0,0
27,Finance,Team Lead,Full-time,Onsite,29,56,14,88542,21.2,17,0,45.6,0,57,0,2,0
28,Engineering,Manager,Full-time,Remote,35,96,30,45628,12.1,13,0,58.2,0,16,0,0,0
29,Engineering,Manager,Full-time,Hybrid,33,10,24,38265,20.8,16,0,69.9,1,40,0,1,1
30,HR,Associate,Full-time,Onsite,57,87,32,54671,2.6,1,0,51.1,0,49,0,2,1
31,HR,Manager,Full-time,Hybrid,38,70,34,42460,3.5,18,0,68.0,0,19,1,2,0
32,Sales,Associate,Contract,Remote,50,23,4,33477,24.4,29,1,90.2,1,8,1,0,0
33,Finance,Senior Associate,Full-time,Hybrid,48,92,4,32202,14.7,21,0,92.4,1,56,0,1,0
34,Finance,Manager,Contract,Onsite,22,113,35,143846,12.7,27,1,43.0,0,59,0,1,1
35,Marketing,Manager,Contract,Hybrid,55,30,16,119410,13.1,8,0,49.7,0,10,0,0,1
36,Marketing,Senior Associate,Full-time,Hybrid,25,78,13,142928,5.4,7,0,56.5,1,16,0,0,0
37,Marketing,Senior Associate,Full-time,Onsite,45,37,28,136753,18.0,9,0,75.7,0,13,0,0,0
38,HR,Senior Associate,Full-time,Onsite,42,55,7,41850,2.1,8,0,61.7,0,17,0,0,0
39,Finance,Manager,Full-time,Hybrid,54,96,33,134621,14.3,26,1,90.6,0,17,1,0,0
40,Finance,Team Lead,Full-time,Hybrid,28,49,0,50809,14.3,26,1,83.0,0,43,0,0,0
41,Engineering,Team Lead,Full-time,Remote,22,34,28,100886,22.9,7,0,46.0,0,49,1,0,1
42,HR,Team Lead,Full-time,Onsite,24,105,35,32806,13.2,6,1,77.5,0,7,0,2,0
43,Operations,Manager,Full-time,Hybrid,36,44,28,37163,3.4,21,1,46.8,1,28,0,0,1
44,HR,Senior Associate,Full-time,Onsite,52,115,4,124368,14.3,23,0,55.3,0,7,0,0,0
45,Operations,Manager,Full-time,Remote,37,22,31,30185,2.3,5,0,50.7,0,25,0,0,1
46,Engineering,Senior Associate,Contract,Hybrid,31,31,23,136374,5.1,1,0,50.4,0,27,1,1,0
47,Sales,Manager,Full-time,Hybrid,50,7,18,54718,0.8,28,0,77.0,1,7,0,0,1
48,Finance,Manager,Contract,Hybrid,27,105,11,107081,12.8,8,1,73.8,0,59,0,1,1
49,Engineering,Senior Associate,Full-time,Onsite,50,21,0,86202,2.1,8,0,50.6,0,19,0,1,0
50,Finance,Team Lead,Full-time,Remote,38,16,6,55215,11.7,18,0,99.4,0,46,0,0,0
51,Marketing,Senior Associate,Full-time,Onsite,43,20,16,58325,23.3,8,0,65.3,0,7,0,0,0
52,Sales,Associate,Full-time,Hybrid,45,43,33,48458,18.0,1,1,45.8,1,13,0,0,0
53,Sales,Associate,Full-time,Remote,38,44,6,46006,1.9,27,1,47.2,0,12,0,0,1
54,Engineering,Senior Associate,Full-time,Hybrid,42,47,16,124080,5.6,29,0,75.0,0,54,0,0,0
55,Sales,Manager,Full-time,Hybrid,32,114,2,62969,16.8,18,0,98.7,1,39,1,0,0
56,Operations,Associate,Full-time,Onsite,28,19,28,106820,22.4,15,0,74.3,0,16,0,0,0
57,Sales,Associate,Full-time,Hybrid,26,48,21,134014,0.8,29,1,96.9,0,50,0,0,0
58,Finance,Manager,Full-time,Remote,42,96,28,147853,20.3,21,0,66.6,0,25,0,0,0
59,Finance,Manager,Full-time,Hybrid,39,79,4,57655,14.0,13,1,66.2,0,5,1,0,0
60,Finance,Team Lead,Full-time,Hybrid,56,69,29,124679,13.7,19,1,70.0,0,16,2,0,1
61,Finance,Manager,Full-time,Onsite,41,11,22,111234,23.9,23,0,81.8,0,3,1,2,0
62,Operations,Senior Associate,Full-time,Remote,36,79,20,130406,18.7,0,0,62.1,0,24,0,0,0
63,HR,Senior Associate,Full-time,Onsite,26,29,25,39102,21.3,12,0,91.8,0,6,0,1,0
64,Marketing,Team Lead,Contract,Hybrid,34,114,20,97107,8.8,21,0,41.8,1,16,0,0,0
65,Engineering,Associate,Full-time,Onsite,33,45,19,133429,13.9,1,0,66.4,1,59,0,1,1
66,Finance,Associate,Full-time,Onsite,42,68,22,135001,15.4,21,0,70.7,1,21,0,2,0
67,Sales,Manager,Full-time,Onsite,27,113,3,51553,8.0,13,0,76.4,0,53,0,1,0
68,Finance,Senior Associate,Full-time,Onsite,28,36,20,114079,14.3,0,0,56.6,1,27,0,0,1
69,Sales,Associate,Full-time,Hybrid,47,48,20,124437,5.9,14,1,65.6,0,49,0,0,1
70,Marketing,Team Lead,Full-time,Hybrid,29,87,0,109570,3.6,17,0,69.1,0,5,1,1,0
71,Marketing,Team Lead,Full-time,Remote,30,15,14,122656,9.3,8,0,81.2,0,29,1,1,0
72,Marketing,Senior Associate,Full-time,Onsite,48,110,16,96865,18.5,21,1,86.4,0,9,2,0,0
73,Sales,Team Lead,Full-time,Onsite,25,44,13,148301,22.9,7,0,84.3,0,49,1,0,1
74,Finance,Team Lead,Full-time,Remote,42,67,18,71420,11.4,6,1,60.5,0,55,2,0,1
75,Marketing,Senior Associate,Full-time,Onsite,52,96,33,55382,16.1,8,1,100.0,0,38,0,2,0
76,Operations,Manager,Full-time,Remote,42,74,5,99235,2.6,8,0,90.9,0,13,0,1,0
77,Sales,Manager,Full-time,Hybrid,46,40,5,68795,22.6,10,0,55.6,1,53,0,0,1
78,Sales,Team Lead,Full-time,Remote,36,102,4,81425,14.2,3,0,51.7,0,45,0,0,0
79,Finance,Manager,Full-time,Onsite,56,86,6,87402,19.5,6,0,58.8,0,41,0,2,0
80,Sales,Manager,Full-time,Remote,49,14,32,92539,19.9,20,0,67.1,1,21,0,0,0
81,Sales,Team Lead,Full-time,Hybrid,35,63,12,106203,6.4,6,1,91.0,0,56,1,1,0
82,Marketing,Manager,Full-time,Onsite,25,81,0,133127,13.2,3,0,86.7,0,40,1,0,0
83,Finance,Team Lead,Full-time,Hybrid,41,85,12,137651,24.0,11,0,91.1,0,25,0,0,0
84,Marketing,Associate,Full-time,Hybrid,55,51,26,53459,2.2,25,1,56.3,1,9,0,0,1
85,Marketing,Senior Associate,Full-time,Remote,33,112,6,79649,17.1,26,1,75.6,1,1,0,1,0
86,Finance,Senior Associate,Full-time,Hybrid,54,79,2,102495,24.1,26,0,57.0,0,2,0,1,0
87,Engineering,Manager,Full-time,Onsite,45,58,24,125117,7.5,16,0,46.5,0,47,1,0,0
88,Marketing,Manager,Full-time,Hybrid,41,15,32,76384,21.5,19,0,81.1,0,41,2,0,1
89,Operations,Manager,Contract,Hybrid,26,65,16,101746,23.3,28,1,48.6,0,54,3,0,1
90,Operations,Senior Associate,Full-time,Remote,51,88,13,108053,18.7,25,0,80.1,1,10,1,1,0
91,Sales,Associate,Full-time,Hybrid,45,55,22,86278,5.8,2,1,78.9,0,9,0,1,0
92,Operations,Associate,Full-time,Remote,28,119,23,108156,8.4,8,0,88.6,0,11,1,0,0
93,Sales,Senior Associate,Contract,Remote,57,76,28,66744,0.9,4,1,48.4,1,13,0,0,0
94,Engineering,Associate,Contract,Onsite,37,10,26,118340,20.8,19,0,87.0,0,29,0,1,0
95,Finance,Senior Associate,Full-time,Onsite,36,110,22,60568,21.2,15,1,100.0,1,40,1,1,1
96,Finance,Associate,Full-time,Onsite,44,106,30,47991,15.8,7,1,91.1,1,59,0,0,0
97,Finance,Team Lead,Full-time,Onsite,33,42,35,38912,8.8,20,0,85.1,0,12,0,1,0
98,Operations,Team Lead,Full-time,Remote,50,116,16,62527,1.9,15,1,79.7,1,29,1,0,0
99,Engineering,Senior Associate,Full-time,Hybrid,36,95,2,126399,18.8,18,1,65.3,0,37,0,1,1
100,Operations,Associate,Full-time,Onsite,50,11,35,80426,18.2,15,1,83.8,0,10,1,0,1
101,Operations,Manager,Full-time,Onsite,42,118,4,140363,22.8,17,0,83.5,1,0,0,0,0
102,Engineering,Associate,Full-time,Onsite,36,16,14,128994,18.3,14,0,77.9,0,26,0,0,0
103,Engineering,Team Lead,Contract,Hybrid,35,73,5,50407,20.7,23,1,87.8,0,46,0,0,0
104,Engineering,Team Lead,Full-time,Onsite,37,111,9,42344,18.6,27,1,66.9,0,38,1,0,0
105,Engineering,Associate,Full-time,Hybrid,36,78,31,131741,15.8,17,0,47.3,0,42,0,1,0
106,Finance,Associate,Full-time,Remote,25,19,22,32355,10.7,13,1,73.5,0,48,2,1,1
107,HR,Manager,Full-time,Remote,48,31,16,126429,22.6,23,0,55.9,0,36,0,0,0
108,HR,Manager,Full-time,Remote,44,73,19,84733,16.3,15,1,63.1,0,8,0,0,1
109,Engineering,Associate,Full-time,Hybrid,50,100,14,96285,10.0,4,0,41.0,0,57,0,2,0
110,HR,Associate,Contract,Onsite,30,53,21,114971,2.1,7,0,63.0,1,47,0,0,0
111,HR,Associate,Full-time,Onsite,28,103,5,75733,7.3,15,0,88.5,0,42,0,2,1
112,Engineering,Associate,Full-time,Onsite,25,118,3,86915,13.6,20,0,72.6,0,25,0,0,0
113,HR,Senior Associate,Full-time,Onsite,26,90,22,82716,6.9,0,0,40.6,0,24,0,1,0
114,Operations,Associate,Full-time,Onsite,26,8,18,141151,5.5,27,0,68.2,0,16,1,0,0
115,Sales,Manager,Full-time,Hybrid,32,24,30,68526,13.2,28,0,57.5,0,5,0,0,0
116,Sales,Team Lead,Full-time,Remote,49,8,2,48088,4.2,10,0,68.7,0,14,1,0,0
117,Engineering,Senior Associate,Full-time,Onsite,37,83,27,95377,20.0,29,1,64.3,0,2,1,0,0
118,Finance,Associate,Full-time,Remote,51,111,2,74405,12.1,10,0,95.9,1,30,0,2,0
119,Engineering,Team Lead,Full-time,Hybrid,25,48,13,68842,14.3,1,0,42.5,0,27,0,0,1
120,Finance,Senior Associate,Full-time,Hybrid,23,30,17,91788,3.7,29,0,81.0,0,8,0,1,1
121,Sales,Team Lead,Full-time,Onsite,24,58,26,141682,8.1,21,1,91.1,0,43,0,0,0
122,Engineering,Associate,Full-time,Hybrid,42,86,9,81529,10.3,18,1,97.6,0,50,1,0,0
123,Marketing,Associate,Full-time,Remote,27,55,14,119939,20.2,23,0,50.7,0,17,1,0,0
124,Operations,Manager,Full-time,Onsite,39,73,18,142833,19.3,4,1,71.9,0,47,1,0,1
125,HR,Associate,Full-time,Onsite,26,62,8,133578,5.6,2,1,42.6,0,39,1,1,0
126,Finance,Associate,Full-time,Remote,30,108,3,82383,15.4,27,0,70.0,1,31,1,3,1
127,Marketing,Senior Associate,Full-time,Onsite,41,48,14,142311,6.1,25,1,47.5,0,18,1,0,0
128,HR,Manager,Contract,Onsite,49,4,7,69177,24.7,22,0,90.3,1,4,1,2,0
129,HR,Senior Associate,Contract,Remote,47,37,0,146903,23.8,29,0,46.8,1,43,1,0,0
130,Engineering,Team Lead,Full-time,Onsite,39,8,6,69056,14.1,7,0,70.8,0,5,1,0,0
131,HR,Associate,Full-time,Onsite,40,1,30,118249,17.5,3,0,71.3,0,11,0,0,0
132,Operations,Team Lead,Full-time,Remote,24,92,17,96421,20.0,28,0,98.3,0,57,0,0,0
133,Marketing,Senior Associate,Full-time,Hybrid,30,70,11,63632,18.0,12,0,79.3,0,46,0,1,0
134,HR,Associate,Full-time,Remote,57,47,29,69685,17.5,26,0,57.3,1,41,1,0,1
135,Engineering,Associate,Full-time,Onsite,52,100,32,107222,24.0,24,0,54.4,0,16,0,1,0
136,Operations,Senior Associate,Full-time,Remote,38,117,6,98590,14.9,21,0,47.7,1,38,0,1,0
137,Sales,Senior Associate,Full-time,Onsite,44,75,27,38977,15.9,13,0,85.4,1,58,1,1,0
138,Marketing,Senior Associate,Full-time,Onsite,55,5,2,120568,21.2,0,0,81.4,0,6,1,1,0
139,HR,Senior Associate,Full-time,Remote,26,50,5,78967,16.7,4,1,76.6,0,52,2,0,1
140,Engineering,Senior Associate,Full-time,Onsite,36,24,30,104072,18.3,20,0,42.5,0,56,0,0,0
141,Sales,Associate,Full-time,Hybrid,24,47,14,45070,5.9,6,0,85.8,1,10,2,0,0
142,Sales,Senior Associate,Full-time,Onsite,40,18,6,112473,9.3,22,0,78.5,1,33,0,0,0
143,Finance,Associate,Contract,Remote,49,84,29,51500,3.7,5,0,97.8,0,52,1,1,0
144,Operations,Associate,Full-time,Hybrid,24,28,26,135987,12.6,14,0,75.2,0,1,0,1,0
145,HR,Senior Associate,Full-time,Hybrid,25,77,16,145475,11.4,14,0,58.2,0,13,0,1,0
146,Engineering,Senior Associate,Full-time,Onsite,45,5,17,40011,24.9,7,1,62.9,1,17,0,1,0
147,Finance,Manager,Contract,Remote,52,30,21,78039,15.3,1,0,50.6,1,47,0,0,0
148,Operations,Associate,Full-time,Onsite,32,1,25,38896,19.7,13,0,83.4,0,59,1,0,0
149,Finance,Senior Associate,Full-time,Onsite,22,86,26,125335,8.4,28,0,82.5,0,42,2,1,1
150,Marketing,Senior Associate,Full-time,Remote,30,82,23,110118,20.8,15,1,52.0,0,8,1,1,0
151,Operations,Senior Associate,Full-time,Remote,38,46,7,149595,15.4,28,1,49.5,0,38,0,1,1
152,Operations,Manager,Full-time,Onsite,22,69,20,69958,17.4,22,0,44.6,1,3,0,0,0
153,HR,Manager,Full-time,Hybrid,24,31,28,71912,7.4,9,0,94.7,0,47,0,0,0
154,Operations,Team Lead,Full-time,Onsite,47,70,20,30814,13.7,14,1,54.0,0,13,0,1,0
155,Finance,Associate,Full-time,Hybrid,52,91,2,105276,15.9,22,0,60.6,0,10,0,1,0
156,Operations,Team Lead,Contract,Onsite,47,56,30,54719,14.7,3,0,56.8,0,29,0,3,1
157,HR,Senior Associate,Full-time,Remote,44,89,26,131081,22.9,11,0,64.8,0,39,0,0,1
158,HR,Manager,Full-time,Hybrid,51,93,26,50150,22.5,9,0,82.8,1,42,2,1,0
159,Marketing,Manager,Full-time,Remote,31,28,8,100494,24.3,1,1,92.2,1,26,0,1,0
160,Finance,Team Lead,Full-time,Remote,29,16,32,33825,16.7,3,1,51.0,0,28,0,0,1
161,Sales,Manager,Contract,Remote,46,54,32,80368,24.3,19,1,81.2,0,51,0,0,1
162,Sales,Senior Associate,Full-time,Remote,43,53,25,44800,20.8,27,0,61.2,0,31,2,0,0
163,Operations,Manager,Full-time,Remote,36,12,27,105535,6.8,27,0,98.8,0,48,0,1,0
164,Marketing,Team Lead,Full-time,Onsite,31,20,30,116390,10.7,5,0,57.9,0,59,0,0,0
165,Engineering,Senior Associate,Full-time,Hybrid,41,82,0,141268,6.0,13,1,40.4,0,29,0,1,0
166,Operations,Team Lead,Full-time,Onsite,44,34,19,122851,0.1,22,1,70.9,0,25,1,1,1
167,Marketing,Manager,Full-time,Onsite,22,119,11,135076,4.7,2,0,49.0,1,29,1,0,0
168,Finance,Team Lead,Full-time,Onsite,23,53,16,105017,0.1,14,0,42.7,0,50,0,1,1
169,Finance,Team Lead,Contract,Remote,40,64,14,78505,18.0,25,0,81.9,0,9,0,2,0
170,Finance,Associate,Full-time,Onsite,35,23,33,87899,10.6,0,1,83.9,0,11,0,2,0
171,Finance,Manager,Full-time,Hybrid,29,109,15,112782,7.8,18,0,67.6,1,32,1,0,1
172,Finance,Manager,Full-time,Onsite,33,27,3,52601,19.0,24,0,80.6,0,33,1,0,0
173,Marketing,Team Lead,Full-time,Remote,47,113,7,40677,20.8,0,0,72.3,0,17,1,0,0
174,Marketing,Associate,Full-time,Hybrid,48,17,33,59552,24.4,12,0,77.8,0,38,0,0,0
175,HR,Manager,Full-time,Hybrid,50,48,24,117858,16.1,7,1,75.8,0,15,0,0,0
176,Sales,Senior Associate,Full-time,Hybrid,36,21,14,97891,11.5,17,1,79.9,1,44,0,0,1
177,Finance,Team Lead,Full-time,Hybrid,22,50,27,104693,7.6,21,1,52.0,1,3,1,0,1
178,Engineering,Manager,Full-time,Onsite,49,40,8,130699,5.6,2,1,56.1,0,9,0,3,0
179,Marketing,Senior Associate,Contract,Remote,24,95,1,121450,5.3,22,0,66.4,1,27,0,0,0
180,Engineering,Manager,Full-time,Hybrid,39,3,16,63292,10.2,17,0,66.8,0,40,0,0,0
181,Engineering,Senior Associate,Full-time,Hybrid,55,17,9,96097,24.8,19,0,86.5,0,17,0,0,0
182,Engineering,Team Lead,Full-time,Remote,53,61,8,103703,0.0,25,1,62.0,1,8,0,1,0
183,HR,Manager,Full-time,Onsite,50,50,30,46184,4.9,8,0,49.8,0,21,1,0,0
184,Marketing,Manager,Full-time,Hybrid,46,90,1,120033,4.7,5,0,55.1,0,9,1,1,0
185,Engineering,Associate,Full-time,Onsite,47,87,23,119336,17.9,19,0,52.9,1,39,0,1,1
186,Finance,Team Lead,Full-time,Onsite,29,6,18,91046,8.8,1,0,83.9,0,22,0,0,1
187,Operations,Senior Associate,Full-time,Onsite,40,28,16,132968,11.4,25,1,68.2,0,42,1,0,1
188,Engineering,Manager,Full-time,Onsite,43,72,9,96741,3.7,29,1,82.5,1,12,0,2,0
189,HR,Manager,Full-time,Hybrid,50,55,27,91377,10.1,24,0,65.0,1,23,1,0,0
190,Marketing,Senior Associate,Full-time,Hybrid,54,58,27,42039,2.6,3,0,93.4,1,12,1,1,0
191,HR,Team Lead,Full-time,Onsite,56,45,0,75161,13.3,24,1,99.0,0,47,1,2,0
192,Engineering,Associate,Full-time,Onsite,24,72,2,65006,2.4,29,1,80.2,1,44,0,0,0
193,Marketing,Associate,Full-time,Remote,40,19,14,47544,19.8,17,0,91.8,1,24,0,1,0
194,Operations,Manager,Full-time,Remote,31,102,9,42987,14.2,6,0,70.5,0,43,0,1,0
195,Engineering,Senior Associate,Full-time,Remote,48,29,20,35239,18.1,26,0,96.1,1,46,2,0,0
196,HR,Manager,Full-time,Hybrid,36,23,14,74785,10.5,10,0,89.9,0,28,0,1,0
197,Sales,Senior Associate,Full-time,Remote,32,111,22,53358,9.5,4,1,99.5,0,15,0,0,0
198,Finance,Associate,Full-time,Hybrid,47,32,13,144759,2.5,7,0,77.4,0,39,1,0,0
199,HR,Team Lead,Full-time,Hybrid,45,10,14,112674,13.1,10,0,86.8,0,5,0,1,0
200,Marketing,Senior Associate,Full-time,Hybrid,34,91,9,86450,12.9,29,0,72.6,0,55,0,0,1
201,Engineering,Associate,Full-time,Hybrid,53,49,8,118520,11.7,23,0,55.5,0,7,0,1,0
202,Finance,Manager,Full-time,Remote,25,65,4,58428,18.5,29,0,61.3,0,33,0,0,0
203,Engineering,Senior Associate,Full-time,Onsite,34,103,24,39096,20.8,29,0,93.6,0,17,0,1,0
204,Marketing,Team Lead,Full-time,Onsite,30,29,25,77582,18.8,19,0,43.4,0,42,1,0,0
205,Engineering,Manager,Full-time,Onsite,55,59,7,54536,3.6,28,0,75.5,1,31,1,0,0
206,Sales,Manager,Contract,Remote,28,45,21,87395,15.6,19,0,62.3,1,48,0,0,0
207,Finance,Associate,Full-time,Onsite,22,67,24,141595,2.0,14,0,63.2,1,9,1,1,0
208,Finance,Senior Associate,Full-time,Remote,33,51,11,98157,17.4,23,0,93.1,0,33,0,0,0
209,Marketing,Manager,Full-time,Remote,42,111,8,131494,9.5,2,0,91.2,1,22,0,0,0
210,Sales,Team Lead,Full-time,Remote,32,101,9,99484,3.3,6,0,75.9,0,58,0,0,1
211,HR,Senior Associate,Full-time,Onsite,35,95,9,31287,21.6,23,0,56.4,0,18,0,1,0
212,Engineering,Team Lead,Full-time,Onsite,55,11,8,84510,15.4,7,1,68.5,1,19,0,0,1
213,Operations,Manager,Full-time,Onsite,55,86,25,53902,8.9,10,1,64.5,0,51,1,0,1
214,Engineering,Team Lead,Full-time,Hybrid,46,82,34,86188,0.8,9,0,61.2,1,51,0,0,1
215,Engineering,Associate,Full-time,Remote,25,99,26,142894,13.4,19,1,46.2,0,33,1,0,1
216,HR,Team Lead,Contract,Hybrid,47,6,30,51164,23.1,8,0,72.6,0,58,0,0,0
217,Engineering,Senior Associate,Full-time,Remote,37,67,18,111204,14.9,14,0,58.1,1,37,0,0,1
