employee_id,department,current_designation,tenure_months,months_since_last_promotion,performance_rating,avg_performance_rating_last_2yrs,project_completion_rate,training_hours_completed,peer_review_score,manager_rating,leadership_flag,certifications_count,PromotionReady
1,Operations,Team Lead,103,19,2,2.84,54.4,45,2.66,4,1,1,0
2,Sales,Team Lead,96,36,1,2.17,74.7,17,4.29,1,0,2,0
3,Finance,Team Lead,111,39,5,3.7,69.9,45,2.84,1,0,2,1
4,Finance,Senior Associate,51,49,1,1.02,64.9,38,1.81,5,1,0,0
5,Operations,Senior Associate,18,29,5,3.5,82.2,3,2.27,3,0,2,0
6,Sales,Senior Associate,100,48,1,2.9,80.3,65,1.19,4,0,2,0
7,Engineering,Manager,67,40,2,3.95,98.8,20,4.64,5,0,3,0
8,Sales,Senior Associate,75,50,1,4.54,85.9,33,3.11,1,1,4,1
9,HR,Senior Associate,100,29,5,2.31,84.5,75,3.37,4,0,0,0
10,HR,Senior Associate,13,0,1,1.13,57.9,48,2.07,1,0,0,0
11,Engineering,Manager,68,8,2,1.44,89.5,50,4.51,2,0,2,1
12,Operations,Manager,29,30,3,1.6,66.8,44,2.43,4,0,0,0
13,Engineering,Associate,11,8,5,4.72,60.3,30,1.19,3,1,1,1
14,Operations,Manager,31,11,5,4.45,86.8,66,4.23,2,0,2,1
15,Engineering,Manager,13,59,5,2.02,93.1,31,4.32,1,0,1,0
16,Finance,Associate,8,40,3,3.5,55.1,7,3.49,1,1,1,0
17,HR,Team Lead,53,37,3,2.72,82.0,24,2.46,2,0,4,1
18,Finance,Team Lead,61,43,5,2.88,62.8,11,4.03,1,0,1,0
19,Operations,Associate,110,56,1,4.22,81.3,25,3.66,2,0,3,0
20,Operations,Team Lead,110,25,3,1.83,83.0,33,1.41,5,0,3,0
21,Marketing,Associate,80,13,1,4.93,51.6,8,4.58,4,0,2,0
22,Engineering,Team Lead,87,36,2,2.79,53.3,44,2.82,5,0,0,0
23,Engineering,Senior Associate,80,14,5,4.38,54.0,72,1.52,1,0,1,0
24,Marketing,Associate,81,54,5,2.3,73.2,51,3.39,3,0,3,0
25,Engineering,Senior Associate,5,18,3,3.25,79.8,47,1.12,4,0,5,1
26,Finance,Senior Associate,89,52,4,1.34,81.6,44,3.41,2,0,3,0
27,Marketing,Team Lead,46,57,4,2.96,52.2,39,2.3,3,0,1,0
28,Engineering,Team Lead,17,25,2,2.17,99.0,67,2.57,2,0,2,0
29,HR,Associate,43,15,1,2.52,84.5,54,2.93,5,0,1,0
30,Engineering,Senior Associate,92,47,1,4.37,89.2,27,1.82,3,0,1,0
31,Sales,Senior Associate,56,2,1,4.84,79.5,4,3.96,1,0,3,0
32,Operations,Senior Associate,31,27,5,1.65,65.8,6,2.38,2,0,1,0
33,Sales,Team Lead,41,8,3,4.24,69.6,18,3.41,4,0,3,0
34,Finance,Senior Associate,13,3,3,4.4,54.4,30,1.81,1,0,1,0
35,Finance,Senior Associate,72,14,1,3.61,94.6,77,2.63,4,1,1,0
36,Engineering,Team Lead,16,0,5,2.44,81.5,44,1.78,4,1,0,1
37,Finance,Senior Associate,13,13,4,3.93,89.4,7,3.66,2,0,2,0
38,Engineering,Associate,111,48,4,1.02,96.9,54,2.33,2,0,1,0
39,Sales,Senior Associate,113,34,2,1.06,94.6,58,1.88,1,0,2,0
40,Engineering,Senior Associate,82,7,1,1.57,62.6,28,4.07,1,0,1,0
41,Engineering,Senior Associate,31,5,4,4.76,68.9,0,2.28,2,0,2,0
42,Marketing,Senior Associate,91,35,1,1.41,85.6,8,1.72,4,0,2,0
43,Operations,Senior Associate,35,13,5,2.71,53.9,44,1.64,3,0,3,1
44,Operations,Team Lead,15,37,1,2.27,62.8,58,4.62,2,0,1,0
45,Operations,Senior Associate,89,49,5,4.93,51.8,56,1.51,2,0,0,1
46,HR,Manager,4,1,4,1.48,72.1,66,4.64,1,0,0,0
47,Sales,Associate,82,34,4,3.99,73.8,68,4.11,1,0,0,0
48,Finance,Team Lead,17,59,5,2.52,82.3,36,1.07,4,0,0,0
49,Engineering,Team Lead,25,44,5,4.49,88.9,69,2.42,1,1,0,1
50,Marketing,Manager,14,1,4,2.99,99.6,48,1.24,3,0,0,0
51,Operations,Senior Associate,95,23,3,2.34,74.2,71,3.75,1,1,4,1
