employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches
9001,Sales,Associate,Full-time,Hybrid,48,13,4,126530,23.8,8,1,56.4,0,12,0,0
9002,Finance,Associate,Full-time,Onsite,46,73,1,83566,0.0,10,1,95.6,0,8,0,0
9003,Sales,Senior Associate,Full-time,Onsite,55,38,2,102546,24.1,14,0,56.4,0,0,2,3
9004,Engineering,Manager,Full-time,Remote,30,57,27,148343,9.5,28,0,54.4,0,32,0,2
9005,Sales,Team Lead,Full-time,Onsite,50,38,7,108150,16.8,11,0,62.6,1,45,0,0
9006,Engineering,Team Lead,Full-time,Onsite,50,26,1,119139,10.4,13,0,84.7,1,21,0,0
9007,HR,Manager,Full-time,Remote,49,117,31,37021,23.9,11,1,64.7,1,28,0,0
9008,Operations,Manager,Contract,Onsite,24,94,23,31635,21.8,27,0,84.1,1,41,0,0
9009,Marketing,Senior Associate,Full-time,Hybrid,30,10,0,50320,20.1,15,0,93.3,0,11,2,0
9010,Operations,Manager,Full-time,Remote,49,14,5,106147,22.3,8,0,99.7,0,8,1,0
9011,Sales,Team Lead,Full-time,Onsite,53,94,18,38327,4.7,23,0,91.7,0,43,1,1
9012,Finance,Manager,Full-time,Remote,42,17,13,36400,14.3,5,0,91.2,1,5,1,1
9013,Sales,Senior Associate,Full-time,Onsite,40,57,2,80627,11.1,26,1,65.3,0,24,1,0
9014,Sales,Associate,Full-time,Remote,56,10,22,81621,18.7,0,0,56.7,0,58,0,0
9015,Engineering,Manager,Full-time,Onsite,42,54,18,48549,6.4,17,1,92.2,1,4,1,0
9016,Marketing,Manager,Full-time,Onsite,33,61,1,79337,13.9,15,1,98.9,0,46,0,0
9017,Finance,Associate,Full-time,Hybrid,23,89,13,36341,9.3,24,0,56.9,0,34,0,0
9018,Finance,Senior Associate,Full-time,Onsite,37,29,23,47259,8.0,27,0,95.9,0,36,0,1
9019,Operations,Manager,Full-time,Onsite,57,25,2,149257,0.3,9,1,78.2,1,9,0,2
9020,HR,Senior Associate,Full-time,Hybrid,51,110,16,45784,9.1,4,1,72.0,1,45,0,0
9021,Engineering,Senior Associate,Full-time,Onsite,25,81,25,65743,10.7,14,0,69.1,0,38,0,1
9022,Operations,Senior Associate,Full-time,Onsite,53,68,26,99550,16.4,7,0,99.3,0,50,1,0
9023,Engineering,Manager,Full-time,Hybrid,28,21,25,136660,24.7,23,0,58.5,1,19,0,1
9024,Engineering,Manager,Full-time,Hybrid,48,93,24,102679,7.0,0,0,44.6,0,39,1,0
9025,Operations,Associate,Full-time,Onsite,50,80,33,133901,21.0,27,0,76.3,0,38,0,3
9026,Sales,Associate,Full-time,Onsite,55,115,12,93052,17.5,11,0,78.9,1,24,0,1
9027,Finance,Associate,Full-time,Onsite,57,74,17,140857,15.3,10,0,72.2,1,55,0,0
9028,HR,Team Lead,Contract,Remote,32,113,17,116386,1.9,19,0,84.7,0,27,0,0
9029,Finance,Team Lead,Full-time,Remote,42,99,24,77997,4.4,17,0,42.7,1,23,1,2
9030,Marketing,Manager,Full-time,Onsite,27,5,15,56914,7.7,15,1,96.0,0,54,0,1
9031,Operations,Associate,Full-time,Hybrid,52,18,10,55685,10.4,8,0,73.5,1,22,0,0
9032,Operations,Associate,Full-time,Onsite,33,84,9,145221,3.7,23,0,42.9,0,59,1,0
9033,Sales,Associate,Contract,Onsite,48,112,23,79231,21.0,12,0,99.6,1,36,0,0
9034,Sales,Manager,Full-time,Remote,56,15,12,110415,8.6,20,0,41.9,0,44,0,2
9035,Sales,Associate,Contract,Onsite,51,53,9,145554,6.5,26,1,87.4,1,6,0,0
9036,Engineering,Team Lead,Full-time,Remote,45,84,34,141452,11.6,6,0,67.3,0,19,0,1
9037,Marketing,Senior Associate,Full-time,Hybrid,31,73,29,32277,21.3,11,0,59.8,0,37,0,0
9038,Sales,Team Lead,Full-time,Hybrid,27,60,17,39540,4.4,27,0,74.3,0,32,0,1
9039,Finance,Associate,Full-time,Hybrid,27,63,10,120581,21.2,24,1,65.3,1,12,1,1
9040,Finance,Associate,Full-time,Onsite,42,105,5,99132,0.2,15,0,49.5,1,13,0,0
9041,HR,Associate,Full-time,Hybrid,41,18,33,48752,17.6,25,1,65.4,0,8,0,3
9042,HR,Manager,Full-time,Onsite,42,74,12,96734,24.6,11,1,81.9,0,45,0,1
9043,Finance,Senior Associate,Full-time,Remote,27,59,34,148638,3.9,15,1,96.2,0,35,0,1
9044,Marketing,Senior Associate,Contract,Onsite,53,114,23,136036,15.9,21,1,81.3,1,26,0,0
9045,Operations,Associate,Full-time,Hybrid,54,62,28,73559,4.6,22,0,89.0,0,58,1,0
9046,Engineering,Manager,Full-time,Onsite,35,101,24,47959,20.7,23,0,86.7,1,3,0,0
9047,Operations,Senior Associate,Contract,Onsite,57,42,28,56565,12.8,8,0,40.3,0,4,1,0
9048,Marketing,Team Lead,Full-time,Hybrid,36,76,35,132799,20.5,8,0,98.6,1,21,0,0
9049,Finance,Team Lead,Full-time,Hybrid,45,57,21,31806,4.2,27,0,89.1,0,31,0,0
9050,Sales,Manager,Full-time,Onsite,46,79,29,36816,10.2,13,0,59.3,0,30,0,0
9051,Operations,Team Lead,Full-time,Remote,48,66,25,115037,9.7,23,1,88.1,0,50,0,0
