employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches
9101,Marketing,Senior Associate,Full-time,Onsite,53,101,60,371589,1.8,51,1,14.6,1,98,6,3
9102,HR,Team Lead,Full-time,Hybrid,53,47,79,398767,1.3,74,1,12.0,1,91,1,3
9103,Operations,Associate,Contract,Onsite,47,7,84,381416,1.7,56,1,8.9,1,129,2,3
9104,HR,Team Lead,Contract,Hybrid,34,76,65,380716,1.7,68,1,18.3,0,102,0,3
9105,Sales,Manager,Full-time,Onsite,24,28,89,334430,1.9,75,1,5.3,0,88,2,3
9106,Finance,Team Lead,Full-time,Hybrid,53,3,79,288123,1.4,74,1,10.2,1,96,4,5
9107,HR,Senior Associate,Full-time,Onsite,54,22,68,265997,1.6,43,0,23.9,1,81,1,1
9108,Finance,Senior Associate,Contract,Onsite,54,115,77,313624,1.5,46,1,24.5,1,116,1,4
9109,Sales,Team Lead,Contract,Hybrid,34,85,99,248485,1.2,58,0,19.6,1,140,1,1
9110,Sales,Team Lead,Full-time,Hybrid,27,63,62,351889,1.4,67,1,26.7,0,148,0,6
9111,Engineering,Manager,Full-time,Hybrid,25,29,95,304717,1.4,61,1,1.4,1,113,4,2
9112,Sales,Associate,Full-time,Remote,27,20,65,295639,0.1,60,1,6.1,1,89,0,2
9113,Sales,Manager,Full-time,Hybrid,24,67,97,300039,1.0,44,1,27.2,1,81,3,7
9114,Engineering,Senior Associate,Full-time,Remote,48,91,60,222764,1.6,71,0,17.8,0,102,6,1
9115,Engineering,Manager,Full-time,Onsite,41,85,78,276312,0.5,40,1,27.4,0,82,3,0
9116,Sales,Senior Associate,Full-time,Onsite,39,105,97,369836,0.9,59,1,9.5,0,82,2,2
9117,Finance,Associate,Contract,Hybrid,41,33,87,220587,0.9,67,1,5.2,1,142,5,3
9118,Marketing,Senior Associate,Contract,Hybrid,51,94,68,240603,0.8,76,0,11.3,1,126,4,3
9119,Operations,Associate,Full-time,Remote,31,48,69,311703,0.2,51,0,17.1,1,132,3,2
9120,Engineering,Senior Associate,Full-time,Hybrid,44,103,83,216401,1.1,57,1,18.0,1,95,10,1
9121,Engineering,Team Lead,Full-time,Remote,24,41,85,386424,0.9,44,0,12.1,1,109,2,4
9122,Operations,Team Lead,Full-time,Hybrid,30,9,67,277665,1.3,70,1,29.8,1,92,4,3
9123,Sales,Manager,Full-time,Remote,40,48,64,332777,1.1,41,1,0.5,1,144,0,4
9124,Finance,Manager,Full-time,Onsite,57,102,72,275586,0.1,48,1,26.3,1,147,3,4
9125,HR,Associate,Full-time,Remote,48,87,81,266699,0.1,41,1,12.3,1,139,2,4
9126,Operations,Senior Associate,Contract,Remote,49,54,93,370403,1.4,57,0,25.9,1,86,1,5
9127,HR,Senior Associate,Full-time,Remote,29,23,84,390788,1.4,74,1,4.3,1,135,2,3
9128,Operations,Senior Associate,Full-time,Hybrid,29,65,82,374162,1.9,64,0,10.0,1,129,4,4
9129,Engineering,Associate,Full-time,Hybrid,39,21,80,240011,1.8,55,1,29.5,1,109,2,5
9130,Marketing,Manager,Full-time,Hybrid,42,32,62,354458,0.9,59,0,18.1,0,118,5,2
9131,Engineering,Senior Associate,Full-time,Onsite,34,109,67,282192,1.3,43,0,18.6,1,142,1,0
9132,Sales,Senior Associate,Full-time,Hybrid,48,26,98,253418,0.9,71,1,26.7,1,106,7,0
9133,Finance,Manager,Full-time,Remote,37,33,98,303515,0.4,59,1,3.4,1,93,2,3
9134,Operations,Associate,Full-time,Remote,30,60,81,318037,0.8,78,1,25.8,1,134,3,2
9135,Operations,Team Lead,Full-time,Hybrid,48,9,70,221183,0.2,54,1,26.6,1,119,0,1
9136,Operations,Manager,Full-time,Hybrid,38,81,82,350921,1.3,57,1,17.5,1,137,4,3
9137,Sales,Senior Associate,Full-time,Onsite,24,70,75,325288,0.4,46,1,27.7,1,110,3,3
