employee_id,department,current_designation,tenure_months,months_since_last_promotion,performance_rating,avg_performance_rating_last_2yrs,project_completion_rate,training_hours_completed,peer_review_score,manager_rating,leadership_flag,certifications_count
9001,Operations,Team Lead,55,43,1,2.98,56.1,4,2.55,5,0,1
9002,Engineering,Associate,40,57,5,1.75,82.0,9,2.44,2,0,1
9003,Engineering,Senior Associate,76,11,2,2.08,53.9,52,2.34,5,0,1
9004,Sales,Manager,19,13,1,3.22,76.3,33,4.28,5,0,1
9005,Marketing,Team Lead,81,43,4,2.48,52.9,37,1.71,1,0,4
9006,Sales,Team Lead,112,52,4,3.4,82.1,32,2.36,5,0,2
9007,Operations,Associate,79,39,4,3.41,78.9,34,4.43,2,0,1
9008,Finance,Senior Associate,63,32,1,1.33,88.7,29,1.61,5,0,1
9009,Engineering,Associate,116,37,3,3.71,53.3,79,3.95,1,0,0
9010,Operations,Senior Associate,8,46,1,2.94,88.2,35,2.62,4,0,0
9011,Sales,Associate,14,6,4,3.77,76.6,49,1.31,2,0,1
9012,Engineering,Manager,86,48,4,1.64,79.4,33,2.76,2,1,1
9013,Operations,Associate,68,29,4,3.21,67.0,74,4.76,1,0,1
9014,Engineering,Senior Associate,62,47,5,1.0,89.2,77,2.01,1,0,1
9015,Marketing,Team Lead,110,45,5,4.19,59.1,75,3.14,5,0,1
9016,Sales,Senior Associate,12,27,4,3.27,62.9,36,4.54,1,0,1
9017,Engineering,Associate,73,37,2,1.25,87.9,73,1.81,5,0,2
9018,HR,Senior Associate,89,24,2,2.21,70.2,15,4.4,2,0,1
9019,Engineering,Associate,102,34,5,2.63,97.3,79,4.63,5,1,1
9020,Finance,Senior Associate,42,2,5,2.34,72.8,17,3.5,5,0,0
9021,Engineering,Associate,59,28,3,2.14,65.8,6,2.94,5,0,5
9022,Sales,Senior Associate,41,31,2,4.88,65.9,52,2.14,2,0,2
9023,Engineering,Team Lead,78,57,3,2.1,71.1,71,2.35,2,0,1
9024,Engineering,Senior Associate,111,39,4,4.72,59.9,44,2.77,3,1,3
9025,Sales,Team Lead,16,22,4,3.08,57.7,32,2.91,1,0,0
9026,Sales,Associate,43,53,5,1.71,92.2,30,3.97,5,1,3
9027,Marketing,Manager,37,34,1,1.38,66.4,50,2.64,5,0,1
9028,Engineering,Team Lead,81,59,4,4.72,72.1,61,4.05,5,0,1
9029,Operations,Manager,114,20,1,3.6,92.7,66,2.41,1,0,1
9030,Sales,Senior Associate,2,51,4,1.18,85.1,71,4.59,4,0,0
9031,Engineering,Senior Associate,68,2,4,2.15,96.3,78,2.2,3,0,1
9032,Engineering,Manager,106,55,2,1.99,75.2,57,2.8,2,0,3
9033,Finance,Senior Associate,117,59,4,4.6,88.6,45,4.15,4,0,1
9034,Marketing,Team Lead,82,24,4,4.13,50.6,62,4.36,2,0,1
9035,Sales,Manager,109,51,5,1.08,74.6,71,1.18,3,0,1
9036,Finance,Team Lead,100,32,4,1.02,66.3,70,4.09,5,0,0
9037,Marketing,Team Lead,12,21,1,2.0,84.5,41,4.9,3,1,0
9038,Finance,Team Lead,70,11,3,4.05,60.2,67,3.62,4,0,1
9039,Marketing,Manager,73,44,1,1.49,65.2,11,2.97,2,0,4
9040,HR,Associate,17,34,4,1.22,80.6,71,1.15,3,0,0
9041,Finance,Team Lead,83,38,2,2.94,78.8,7,2.96,5,0,1
9042,Engineering,Senior Associate,56,14,2,3.6,60.5,62,4.51,4,0,1
9043,Sales,Associate,9,22,4,3.24,91.3,32,1.61,5,0,1
9044,Marketing,Team Lead,7,40,1,1.33,95.8,60,4.76,3,0,2
9045,Sales,Associate,37,55,1,1.82,51.3,7,2.56,1,1,0
9046,Sales,Senior Associate,42,27,1,3.8,60.3,73,3.18,5,0,1
9047,Operations,Senior Associate,8,32,1,1.64,80.7,47,2.21,3,0,3
9048,Engineering,Associate,18,39,3,1.26,50.4,55,1.17,3,0,0
9049,HR,Team Lead,116,53,2,2.89,63.3,31,3.99,3,1,2
9050,Sales,Associate,53,13,3,3.66,80.8,58,1.35,4,0,1
9051,HR,Team Lead,114,41,2,2.24,77.0,51,3.53,4,0,2
9052,Marketing,Manager,90,40,1,2.05,50.1,63,1.26,3,0,1
9053,HR,Manager,91,3,3,3.05,69.3,30,4.51,4,0,2
9054,Finance,Manager,56,50,5,2.95,86.9,4,3.72,2,0,1
9055,Operations,Associate,96,10,4,3.12,94.2,69,2.63,1,1,0
9056,Marketing,Team Lead,19,42,1,1.59,99.2,49,3.84,3,1,1
9057,Sales,Senior Associate,78,32,4,3.29,62.4,37,2.57,5,0,1
9058,HR,Team Lead,21,2,5,4.04,50.4,34,3.37,1,1,2
9059,HR,Team Lead,43,31,5,1.04,62.8,61,1.43,2,0,1
9060,Marketing,Senior Associate,68,48,5,3.72,82.8,70,1.07,3,0,1
9061,Operations,Associate,86,20,2,4.61,67.0,52,1.87,2,0,0
9062,Engineering,Associate,51,27,1,4.73,83.4,19,4.71,3,0,2
9063,Finance,Senior Associate,32,53,1,2.55,96.2,7,1.38,4,0,2
